key,item,date,price,customer
ORD-001,Latte,2024-01-06,17.99,CUST-153
ORD-002,Tea,2024-01-26,6.76,CUST-802
ORD-003,Cake,2024-01-01,14.53,CUST-317
ORD-004,Cappuccino,2024-01-05,15.83,CUST-927
ORD-005,Tea,2024-01-25,18.09,CUST-343
ORD-006,Mocha,2024-01-25,13.62,CUST-594
ORD-007,Coffee,2024-01-16,17.72,CUST-073
ORD-008,Cappuccino,2024-01-29,10.04,CUST-883
ORD-009,Mocha,2024-01-04,13.73,CUST-454
ORD-010,Cake,2024-01-30,7.09,CUST-166
ORD-011,Sandwich,2024-01-24,3.68,CUST-240
ORD-012,Cake,2024-01-23,13.57,CUST-547
ORD-013,Tea,2024-01-01,18.66,CUST-010
ORD-014,Espresso,2024-01-04,11.94,CUST-858
ORD-015,Sandwich,2024-01-28,19.34,CUST-494
ORD-016,Sandwich,2024-01-02,3.98,CUST-868
ORD-017,Cake,2024-01-10,10.2,CUST-815
ORD-018,Mocha,2024-01-16,19.05,CUST-692
ORD-019,Espresso,2024-01-07,8.76,CUST-874
ORD-020,Latte,2024-01-15,16.78,CUST-005
ORD-021,Sandwich,2024-01-15,6.59,CUST-223
ORD-022,Sandwich,2024-01-11,17.9,CUST-159
ORD-023,Mocha,2024-01-27,16.73,CUST-106
ORD-024,Coffee,2024-01-22,15.6,CUST-154
ORD-025,Tea,2024-01-09,11.5,CUST-852
ORD-026,Latte,2024-01-03,10.85,CUST-110
ORD-027,Cake,2024-01-27,7.3,CUST-056
ORD-028,Coffee,2024-01-08,11.1,CUST-422
ORD-029,Cake,2024-01-08,16.9,CUST-236
ORD-030,Cappuccino,2024-01-17,11.54,CUST-830
ORD-031,Espresso,2024-01-08,14.66,CUST-793
ORD-032,Cake,2024-01-30,4.41,CUST-310
ORD-033,Cappuccino,2024-01-06,7.72,CUST-595
ORD-034,Cappuccino,2024-01-10,18.51,CUST-367
ORD-035,Latte,2024-01-28,7.04,CUST-542
ORD-036,Sandwich,2024-01-06,14.05,CUST-633
ORD-037,Cappuccino,2024-01-04,11.27,CUST-410
ORD-038,Latte,2024-01-31,15.79,CUST-361
ORD-039,Sandwich,2024-01-13,8.44,CUST-141
ORD-040,Mocha,2024-01-03,6.43,CUST-625
ORD-041,Coffee,2024-01-28,18.96,CUST-386
ORD-042,Latte,2024-01-12,8.75,CUST-301
ORD-043,Mocha,2024-01-20,18.91,CUST-558
ORD-044,Mocha,2024-01-23,9.16,CUST-171
ORD-045,Sandwich,2024-01-12,12.29,CUST-308
ORD-046,Mocha,2024-01-24,3.51,CUST-005
ORD-047,Cake,2024-01-30,7.93,CUST-794
ORD-048,Latte,2024-01-08,2.19,CUST-451
ORD-049,Cappuccino,2024-01-12,18.52,CUST-234
ORD-050,Espresso,2024-01-18,11.91,CUST-555
ORD-051,Mocha,2024-01-22,12.45,CUST-184
ORD-052,Coffee,2024-01-06,11.39,CUST-523
ORD-053,Cake,2024-01-20,17.45,CUST-089
ORD-054,Cappuccino,2024-01-06,18.88,CUST-652
ORD-055,Coffee,2024-01-04,3.55,CUST-612
ORD-056,Tea,2024-01-30,14.11,CUST-331
ORD-057,Coffee,2024-01-05,10.54,CUST-056
ORD-058,Latte,2024-01-07,18.36,CUST-278
ORD-059,Cake,2024-01-27,5.35,CUST-557
ORD-060,Sandwich,2024-01-20,9.2,CUST-610
ORD-061,Cappuccino,2024-01-29,3.39,CUST-285
ORD-062,Cappuccino,2024-01-05,12.14,CUST-984
ORD-063,Sandwich,2024-01-19,9.04,CUST-333
ORD-064,Cappuccino,2024-01-28,18.68,CUST-324
ORD-065,Espresso,2024-01-19,19.46,CUST-786
ORD-066,Latte,2024-01-31,5.3,CUST-343
ORD-067,Mocha,2024-01-09,6.4,CUST-969
ORD-068,Latte,2024-01-31,10.78,CUST-412
ORD-069,Coffee,2024-01-06,17.25,CUST-920
ORD-070,Sandwich,2024-01-26,17.48,CUST-796
ORD-071,Tea,2024-01-31,15.5,CUST-042
ORD-072,Latte,2024-01-09,15.54,CUST-867
ORD-073,Latte,2024-01-21,2.58,CUST-610
ORD-074,Cake,2024-01-17,6.24,CUST-269
ORD-075,Mocha,2024-01-18,3.56,CUST-745
